,zillow_id,address,zipcode,latitude,longitude,sqft,lot,bed,bath,home_type,year_built,last_sold_date,last_sold_price,dist_to_public_trans
53,241573246.0,"7160 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.7354476,-121.877344,,5100.0,0.0,,Condominium,,01/25/2017,1300000.0,2.5329915421804317
54,241573849.0,"7168 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.73548579999999,-121.8775368,3996.0,6620.0,5.0,6.0,SingleFamily,2017.0,03/29/2017,1330000.0,2.530284276573884
55,241573793.0,"4203 OAK KNOLL DR, DUBLIN, CA",94568.0,37.7337696,-121.8752594,,5731.0,0.0,,SingleFamily,,09/07/2017,1433000.0,2.4907204685786954
56,241573792.0,"4209 OAK KNOLL DR, DUBLIN, CA",94568.0,37.7339191,-121.8753193,,4131.0,0.0,,SingleFamily,,09/05/2017,1283000.0,2.4977229961382874
57,241573914.0,"7020 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.73440460000001,-121.8751841,,6148.0,0.0,,SingleFamily,,09/18/2017,1350000.0,2.5300837067127757
58,241573282.0,"7028 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.7345444,-121.87526480000001,,6875.0,0.0,,SingleFamily,,09/14/2017,1406500.0,2.535984865139993
59,241573321.0,"7036 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.7346792,-121.87535729999999,2994.0,6038.0,4.0,3.0,SingleFamily,2017.0,09/14/2017,1328500.0,2.5412864108891813
60,241573915.0,"7050 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.734804,-121.8754887,3445.0,6704.0,4.0,5.0,SingleFamily,2018.0,03/14/2018,1384500.0,2.5449314855873384
61,241573887.0,"7058 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.734917100000004,-121.87560790000002,2994.0,5871.0,4.0,3.0,SingleFamily,2018.0,03/21/2018,1359500.0,2.548269687319394
62,241573888.0,"7072 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.735034399999996,-121.87576920000001,2994.0,6501.0,4.0,3.0,SingleFamily,2018.0,03/21/2018,1323500.0,2.550720941262848
63,241573514.0,"7080 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.7351255,-121.87593000000001,,5804.0,0.0,,SingleFamily,,03/29/2018,1377500.0,2.55167958874736
64,241573515.0,"7088 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.735193,-121.8760693,,5714.0,0.0,,Condominium,,03/23/2017,1300000.0,2.5518654502654874
65,2088676484.0,"7056 CALISTOGA LN, DUBLIN, CA",94568.0,37.7340768,-121.8735062,1852.0,,4.0,2.0,Townhouse,,07/11/2018,874838.0,2.560673580715393
66,2089654106.0,"7032 CALISTOGA LN, DUBLIN, CA",94568.0,37.733851,-121.8734108,1637.0,,3.0,3.0,SingleFamily,,05/07/2018,827880.0,2.5506461840548083
67,2093932548.0,"4108 WINDSOR WY, DUBLIN, CA",94568.0,37.7350986,-121.87391609999999,,,4.0,3.0,Townhouse,2017.0,06/01/2017,826528.0,2.6075022008985966
68,2092841340.0,"7135 CALISTOGA LN, DUBLIN, CA",94568.0,37.7349514,-121.8734347,2160.0,,4.0,4.0,Townhouse,,09/07/2017,805814.0,2.6132122170399152
69,163650690.0,"7129 CALISTOGA LN, DUBLIN, CA",94568.0,37.7348987,-121.87340990000001,,2242.0,0.0,,SingleFamily,,03/06/2018,1146000.0,2.6109068279200334
